ratioD	ratio_off_off
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
78.57	14.51
78.57	14.51
78.57	14.51
78.57	11.29
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
57.14	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	74.19
100.00	74.19
100.00	67.74
100.00	64.51
57.14	3.22
100.00	74.19
100.00	74.19
100.00	67.74
100.00	64.51
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	75.80
100.00	75.80
100.00	72.58
100.00	64.51
57.14	3.22
100.00	75.80
100.00	75.80
100.00	72.58
100.00	64.51
57.14	3.22
78.57	14.51
78.57	14.51
78.57	14.51
78.57	11.29
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
57.14	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
57.14	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
57.14	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
57.14	3.22
78.57	14.51
78.57	14.51
78.57	14.51
78.57	11.29
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
57.14	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
57.14	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
57.14	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
57.14	3.22
78.57	14.51
78.57	14.51
78.57	14.51
78.57	11.29
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
92.85	24.19
92.85	24.19
92.85	24.19
92.85	22.58
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
92.85	29.03
92.85	29.03
92.85	29.03
92.85	27.41
57.14	3.22
92.85	29.03
92.85	29.03
92.85	29.03
92.85	27.41
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
92.85	29.03
92.85	29.03
92.85	29.03
92.85	27.41
57.14	3.22
92.85	29.03
92.85	29.03
92.85	29.03
92.85	27.41
57.14	3.22
85.71	16.12
85.71	16.12
85.71	16.12
78.57	11.29
57.14	3.22
92.85	29.03
92.85	29.03
92.85	29.03
92.85	27.41
57.14	3.22
92.85	29.03
92.85	29.03
92.85	29.03
92.85	27.41
57.14	3.22
88.88	14.51
88.88	14.51
88.88	14.51
88.88	11.29
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
66.66	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	74.19
100.00	74.19
100.00	67.74
100.00	64.51
66.66	3.22
100.00	74.19
100.00	74.19
100.00	67.74
100.00	64.51
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	75.80
100.00	75.80
100.00	72.58
100.00	64.51
66.66	3.22
100.00	75.80
100.00	75.80
100.00	72.58
100.00	64.51
66.66	3.22
88.88	14.51
88.88	14.51
88.88	14.51
88.88	11.29
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
66.66	3.22
100.00	48.38
100.00	48.38
100.00	46.77
100.00	41.93
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
66.66	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
66.66	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
66.66	3.22
88.88	14.51
88.88	14.51
88.88	14.51
88.88	11.29
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
66.66	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
66.66	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
66.66	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
66.66	3.22
88.88	14.51
88.88	14.51
88.88	14.51
88.88	11.29
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
